Atom_Index,Atom_Type,Degree,Formal_Charge,Is_Aromatic,Hybridization,Raw_Importance_Score,Relative_Importance_Score
0,C,2,0,True,SP2,0.13613075017929077,0.03127211015773647
1,C,2,0,True,SP2,0.15271992981433868,0.14653025948175705
2,C,2,0,True,SP2,0.15061882138252258,0.13193219769040798
3,C,3,0,True,SP2,0.13162973523139954,0.0
4,C,2,0,True,SP2,0.15151731669902802,0.13817475516672392
5,C,2,0,True,SP2,0.13950613141059875,0.05472355275720461
6,C,2,0,False,SP2,0.16041338443756104,0.19998277258297995
7,C,2,0,False,SP2,0.1873941272497177,0.3874393287436347
8,C,2,0,False,SP2,0.1695757508277893,0.263640977316337
9,O,1,0,False,SP2,0.2755603790283203,1.0
