Bond_Index,Begin_Atom_Index,Begin_Atom_Type,End_Atom_Index,End_Atom_Type,Bond_Type,Is_In_Ring,Is_Conjugated,Stereo,Directed_Edge_Indices,Raw_Importance_Score,Relative_Importance_Score
0,0,C,1,C,AROMATIC,True,True,STEREONONE,"0,1",0.08236034959554672,0.011993706214693915
1,1,C,2,C,AROMATIC,True,True,STEREONONE,"2,3",0.08309518545866013,0.012848124539518807
2,2,C,3,C,AROMATIC,True,True,STEREONONE,"4,5",0.5091295018792152,0.5082125252530327
3,3,C,4,C,AROMATIC,True,True,STEREONONE,"6,7",0.07790248468518257,0.006810397042940546
4,4,C,5,C,AROMATIC,True,True,STEREONONE,"8,9",0.9320875108242035,1.0
5,3,C,6,C,SINGLE,False,True,STEREONONE,"10,11",0.07204525545239449,0.0
6,6,C,7,C,DOUBLE,False,True,STEREOE,"12,13",0.9141676425933838,0.979163967678457
7,7,C,8,C,SINGLE,False,True,STEREONONE,"14,15",0.921583741903305,0.9877869152878337
8,8,C,9,O,DOUBLE,False,True,STEREONONE,"16,17",0.9145329296588898,0.9795886992113839
9,5,C,0,C,AROMATIC,True,True,STEREONONE,"18,19",0.0791555680334568,0.00826739911516141
