Feature_Index,Feature_Type,Feature_Description
0,Atom,('C', 1, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
1,Atom,('C', 3, 0, False, rdkit.Chem.rdchem.HybridizationType(3))
2,Atom,('C', 2, 0, False, rdkit.Chem.rdchem.HybridizationType(3))
3,Atom,('C', 2, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
4,Atom,('O', 1, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
5,Atom,('C', 3, 0, True, rdkit.Chem.rdchem.HybridizationType(3))
6,Atom,('C', 2, 0, True, rdkit.Chem.rdchem.HybridizationType(3))
7,Atom,('N', 2, 0, True, rdkit.Chem.rdchem.HybridizationType(3))
8,Atom,('C', 3, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
9,Atom,('C', 4, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
10,Atom,('O', 1, 0, False, rdkit.Chem.rdchem.HybridizationType(3))
11,Atom,('O', 2, 0, False, rdkit.Chem.rdchem.HybridizationType(3))
12,Atom,('C', 1, 0, False, rdkit.Chem.rdchem.HybridizationType(3))
13,Atom,('O', 2, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
14,Atom,('C', 2, 1, False, rdkit.Chem.rdchem.HybridizationType(3))
15,Atom,('S', 2, 0, True, rdkit.Chem.rdchem.HybridizationType(3))
16,Atom,('N', 3, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
17,Atom,('N', 3, 1, False, rdkit.Chem.rdchem.HybridizationType(3))
18,Atom,('O', 1, -1, False, rdkit.Chem.rdchem.HybridizationType(3))
19,Atom,('C', 1, -1, False, rdkit.Chem.rdchem.HybridizationType(4))
20,Atom,('C', 1, 1, False, rdkit.Chem.rdchem.HybridizationType(3))
21,Atom,('O', 2, 0, True, rdkit.Chem.rdchem.HybridizationType(3))
22,Atom,('N', 1, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
23,Atom,('S', 2, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
24,Atom,('P', 3, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
25,Atom,('N', 2, 0, False, rdkit.Chem.rdchem.HybridizationType(4))
26,Atom,('C', 2, 0, False, rdkit.Chem.rdchem.HybridizationType(2))
